area_code,year,electricity_price_proxy
ITF6,2024,62.3
ITF6,2025,57.1
ITFG,2001,69.6
ITFG,2002,67.0
ITFG,2003,67.2
ITFG,2005,65.5
ITFG,2006,65.0
ITFG,2007,67.4
ITFG,2008,60.0
ITFG,2009,65.2
ITFG,2010,61.3
ITFG,2011,62.5
ITFG,2012,59.2
ITFG,2013,56.3
ITFG,2014,56.7
ITFG,2015,58.9
ITFG,2016,60.4
ITFG,2017,57.1
ITFG,2018,54.8
ITFG,2019,60.1
ITFG,2020,62.8
ITFG,2021,62.8
ITFG,2022,59.9
ITFG,2023,61.2
ITFG,2024,59.4
ITFG,2025,57.6
ITG,2001,70.2
ITG,2002,68.7
ITG,2003,62.7
ITG,2005,65.6
ITG,2006,62.5
ITG,2007,66.4
ITG,2008,58.3
ITG,2009,60.2
ITG,2010,60.8
ITG,2011,59.2
ITG,2012,55.8
ITG,2013,56.4
ITG,2014,55.8
ITG,2015,61.1
ITG,2016,58.6
ITG,2017,53.0
ITG,2018,55.1
ITG,2019,60.6
ITG,2020,63.2
ITG,2021,61.6
ITG,2022,64.2
ITG,2023,61.9
ITG,2024,60.0
ITG,2025,58.9
ITG1,2001,68.5
ITG1,2002,66.8
ITG1,2003,60.2
ITG1,2005,64.4
ITG1,2006,60.7
ITG1,2007,65.6
ITG1,2008,56.4
ITG1,2009,58.7
ITG1,2010,58.7
ITG1,2011,57.3
ITG1,2012,54.1
ITG1,2013,56.2
ITG1,2014,56.1
ITG1,2015,61.9
ITG1,2016,57.7
ITG1,2017,49.7
ITG1,2018,53.6
ITG1,2019,59.6
ITG1,2020,62.8
ITG1,2021,60.4
ITG1,2022,63.9
ITG1,2023,61.8
ITG1,2024,58.8
ITG1,2025,57.0
ITG2,2001,75.5
ITG2,2002,74.5
ITG2,2003,70.7
ITG2,2005,69.2
ITG2,2006,68.2
ITG2,2007,68.8
ITG2,2008,64.2
ITG2,2009,64.5
ITG2,2010,66.9
ITG2,2011,64.7
ITG2,2012,60.9
ITG2,2013,57.1
ITG2,2014,54.9
ITG2,2015,58.8
ITG2,2016,61.1
ITG2,2017,62.5
ITG2,2018,59.2
ITG2,2019,63.4
ITG2,2020,64.5
ITG2,2021,65.2
ITG2,2022,64.8
ITG2,2023,62.0
ITG2,2024,63.4
ITG2,2025,64.3
