area_code,frequency,year,death_rate,data_type
IT,A,2019,6.0,LIFEEXP85
IT,A,2020,5.5,LIFEEXP85
IT,A,2021,5.8,LIFEEXP85
IT,A,2022,5.7,LIFEEXP85
IT,A,2023,6.0,LIFEEXP85
IT,A,2024,6.3,LIFEEXP85
IT,A,2011,6.9,LIFEEXP85
IT,A,2012,6.8,LIFEEXP85
IT,A,2013,7.0,LIFEEXP85
IT,A,2014,7.2,LIFEEXP85
IT,A,2015,6.8,LIFEEXP85
IT,A,2016,7.2,LIFEEXP85
IT,A,2017,6.9,LIFEEXP85
IT,A,2018,7.1,LIFEEXP85
IT,A,2019,7.2,LIFEEXP85
IT,A,2020,6.6,LIFEEXP85
IT,A,2021,7.0,LIFEEXP85
IT,A,2022,6.8,LIFEEXP85
IT,A,2023,7.1,LIFEEXP85
IT,A,2024,7.4,LIFEEXP85
IT,A,2011,6.4,LIFEEXP85
IT,A,2012,6.3,LIFEEXP85
IT,A,2013,6.5,LIFEEXP85
IT,A,2014,6.6,LIFEEXP85
IT,A,2015,6.3,LIFEEXP85
IT,A,2016,6.6,LIFEEXP85
IT,A,2017,6.4,LIFEEXP85
IT,A,2018,6.6,LIFEEXP85
IT,A,2019,6.7,LIFEEXP85
IT,A,2020,6.2,LIFEEXP85
IT,A,2021,6.5,LIFEEXP85
IT,A,2022,6.3,LIFEEXP85
IT,A,2023,6.6,LIFEEXP85
IT,A,2024,6.9,LIFEEXP85
IT,A,2011,76.5,MEANAGEDH
IT,A,2012,76.9,MEANAGEDH
IT,A,2013,77.1,MEANAGEDH
IT,A,2014,77.3,MEANAGEDH
IT,A,2015,77.7,MEANAGEDH
IT,A,2016,77.8,MEANAGEDH
IT,A,2017,78.3,MEANAGEDH
IT,A,2018,78.2,MEANAGEDH
IT,A,2019,78.5,MEANAGEDH
IT,A,2020,78.9,MEANAGEDH
IT,A,2021,78.6,MEANAGEDH
IT,A,2022,79.1,MEANAGEDH
IT,A,2023,78.9,MEANAGEDH
IT,A,2024,79.1,MEANAGEDH
IT,A,2011,82.3,MEANAGEDH
IT,A,2012,82.6,MEANAGEDH
IT,A,2013,82.7,MEANAGEDH
IT,A,2014,82.9,MEANAGEDH
IT,A,2015,83.3,MEANAGEDH
IT,A,2016,83.3,MEANAGEDH
IT,A,2017,83.6,MEANAGEDH
IT,A,2018,83.7,MEANAGEDH
IT,A,2019,83.9,MEANAGEDH
IT,A,2020,84.2,MEANAGEDH
IT,A,2021,83.9,MEANAGEDH
IT,A,2022,84.4,MEANAGEDH
IT,A,2023,84.1,MEANAGEDH
IT,A,2024,84.3,MEANAGEDH
IT,A,2011,79.5,MEANAGEDH
IT,A,2012,79.9,MEANAGEDH
IT,A,2013,80.0,MEANAGEDH
IT,A,2014,80.2,MEANAGEDH
IT,A,2015,80.7,MEANAGEDH
IT,A,2016,80.7,MEANAGEDH
IT,A,2017,81.1,MEANAGEDH
IT,A,2018,81.1,MEANAGEDH
IT,A,2019,81.4,MEANAGEDH
IT,A,2020,81.6,MEANAGEDH
IT,A,2021,81.3,MEANAGEDH
IT,A,2022,81.9,MEANAGEDH
IT,A,2023,81.6,MEANAGEDH
IT,A,2024,81.8,MEANAGEDH
IT,A,2011,3.4,PROBDEATH0Y
IT,A,2012,3.3,PROBDEATH0Y
IT,A,2013,3.3,PROBDEATH0Y
IT,A,2014,3.3,PROBDEATH0Y
IT,A,2015,3.3,PROBDEATH0Y
IT,A,2016,3.2,PROBDEATH0Y
IT,A,2017,3.1,PROBDEATH0Y
IT,A,2018,3.1,PROBDEATH0Y
IT,A,2019,3.0,PROBDEATH0Y
IT,A,2020,2.9,PROBDEATH0Y
IT,A,2021,2.6,PROBDEATH0Y
IT,A,2022,2.5,PROBDEATH0Y
IT,A,2023,2.6,PROBDEATH0Y
IT,A,2024,2.8,PROBDEATH0Y
IT,A,2011,2.9,PROBDEATH0Y
IT,A,2012,2.7,PROBDEATH0Y
IT,A,2013,2.7,PROBDEATH0Y
IT,A,2014,2.7,PROBDEATH0Y
IT,A,2015,2.7,PROBDEATH0Y
IT,A,2016,2.7,PROBDEATH0Y
IT,A,2017,2.7,PROBDEATH0Y
IT,A,2018,2.7,PROBDEATH0Y
IT,A,2019,2.6,PROBDEATH0Y
IT,A,2020,2.4,PROBDEATH0Y
IT,A,2021,2.2,PROBDEATH0Y
IT,A,2022,2.2,PROBDEATH0Y
IT,A,2023,2.3,PROBDEATH0Y
IT,A,2024,2.3,PROBDEATH0Y
IT,A,2011,3.2,PROBDEATH0Y
IT,A,2012,3.0,PROBDEATH0Y
IT,A,2013,3.0,PROBDEATH0Y
IT,A,2014,3.0,PROBDEATH0Y
IT,A,2015,3.0,PROBDEATH0Y
IT,A,2016,3.0,PROBDEATH0Y
IT,A,2017,2.9,PROBDEATH0Y
IT,A,2018,2.9,PROBDEATH0Y
IT,A,2019,2.8,PROBDEATH0Y
IT,A,2020,2.6,PROBDEATH0Y
IT,A,2021,2.4,PROBDEATH0Y
IT,A,2022,2.3,PROBDEATH0Y
IT,A,2023,2.5,PROBDEATH0Y
IT,A,2024,2.5,PROBDEATH0Y
