area_code,year,agriculture_support_level
ITD10,2015,12447.038461538461
ITD20,2002,9139.063636363637
ITD20,2003,8836.627272727272
ITD20,2004,8714.209090909091
ITD20,2005,8060.745454545454
ITD20,2006,9726.063636363637
ITD20,2007,11595.136363636364
ITD20,2008,11671.963636363636
ITD20,2009,9646.718181818182
ITD20,2011,8555.123076923077
ITD20,2012,8735.253846153846
ITD20,2013,9154.746153846154
ITD20,2014,14065.061538461538
ITD20,2015,11469.561538461538
ITD3,2002,31447.02727272727
ITD3,2003,29522.427272727273
ITD3,2004,29767.31818181818
ITD3,2005,29330.20909090909
ITD3,2006,28328.863636363636
ITD3,2007,28965.054545454543
ITD3,2008,29631.227272727272
ITD3,2009,30767.281818181822
ITD3,2011,26971.553846153845
ITD3,2012,26874.784615384615
ITD3,2013,27584.184615384616
ITD3,2014,29746.069230769233
ITD3,2015,25682.03846153846
ITD4,2002,9808.327272727272
ITD4,2003,10210.272727272728
ITD4,2004,11892.154545454545
ITD4,2005,11046.672727272728
ITD4,2006,10436.854545454546
ITD4,2007,10645.227272727272
ITD4,2008,10098.072727272727
ITD4,2009,9576.145454545454
ITD4,2011,12450.376923076923
ITD4,2012,12504.484615384614
ITD4,2013,11666.876923076923
ITD4,2014,11863.138461538461
ITD4,2015,13914.023076923078
ITD5,2002,23699.745454545457
ITD5,2003,25576.936363636363
ITD5,2004,26294.61818181818
ITD5,2005,25810.454545454544
ITD5,2006,26483.127272727274
ITD5,2007,26205.036363636365
ITD5,2008,26678.254545454543
ITD5,2009,24227.8
ITD5,2011,24480.76923076923
ITD5,2012,25697.69230769231
ITD5,2013,26259.36153846154
ITD5,2014,25646.73076923077
ITD5,2015,20952.353846153845
ITDA,2002,12396.790909090907
ITDA,2003,13283.045454545454
ITDA,2004,13196.681818181818
ITDA,2005,13231.418181818182
ITDA,2006,15212.79090909091
ITDA,2007,17121.590909090908
ITDA,2008,18720.81818181818
ITDA,2009,16868.354545454546
ITDA,2011,13926.307692307691
ITDA,2012,15116.376923076923
ITDA,2013,16206.684615384615
ITDA,2014,19797.43076923077
ITDA,2015,13528.107692307693
ITE,2002,56594.05454545454
ITE,2003,58426.01818181818
ITE,2004,52446.0
ITE,2005,53271.2909090909
ITE,2006,49773.472727272725
ITE,2007,51618.69090909091
ITE,2008,52569.32727272727
ITE,2009,49664.0
ITE,2011,49380.192307692305
ITE,2012,42281.7
ITE,2013,40430.592307692306
ITE,2014,43714.79230769231
ITE,2015,39417.9
ITE,2016,40027.11538461538
ITE,2017,38338.769230769234
ITE1,2002,19523.5
ITE1,2003,21753.072727272727
ITE1,2004,21092.46363636364
ITE1,2005,21315.245454545457
ITE1,2006,19633.227272727272
ITE1,2007,21096.8
ITE1,2008,22995.16363636364
ITE1,2009,22286.100000000002
ITE1,2011,25549.6
ITE1,2012,18155.015384615384
ITE1,2013,17501.66153846154
ITE1,2014,18036.884615384617
ITE1,2015,18203.815384615384
ITE2,2002,9136.763636363637
ITE2,2003,12744.163636363635
ITE2,2004,11047.072727272727
ITE2,2005,9663.245454545455
ITE2,2006,9724.563636363637
ITE2,2007,9103.118181818181
ITE2,2008,9475.063636363637
ITE2,2009,9615.790909090909
ITE2,2011,9087.946153846155
ITE2,2012,8300.507692307692
ITE2,2013,8045.823076923077
ITE2,2014,13483.915384615384
ITE2,2015,9790.946153846155
ITE3,2002,14460.618181818181
ITE3,2003,11704.463636363636
ITE3,2004,11454.263636363636
ITE3,2005,12326.372727272728
ITE3,2006,10442.300000000001
ITE3,2007,11691.227272727272
ITE3,2008,11538.045454545454
ITE3,2009,9898.30909090909
ITE3,2011,10479.738461538462
ITE3,2012,10823.207692307693
ITE3,2013,10461.369230769229
ITE3,2014,11710.599999999999
ITE3,2015,9989.492307692308
ITE4,2002,25847.82727272727
ITE4,2003,24404.41818181818
ITE4,2004,21814.918181818182
ITE4,2005,21721.81818181818
ITE4,2006,21408.21818181818
ITE4,2007,22064.763636363637
ITE4,2008,21950.71818181818
ITE4,2009,20612.00909090909
ITE4,2011,19417.023076923077
ITE4,2012,17927.246153846154
ITE4,2013,17282.26923076923
ITE4,2014,20615.276923076926
ITE4,2015,23122.015384615384
ITF1,2002,12511.563636363637
ITF1,2003,12949.5
ITF1,2004,13077.818181818182
ITF1,2005,13606.609090909093
ITF1,2006,13300.872727272728
ITF1,2007,14675.254545454545
ITF1,2008,13940.09090909091
ITF1,2009,14491.272727272728
ITF1,2011,12109.630769230767
ITF1,2012,12408.56923076923
ITF1,2013,12139.461538461539
ITF1,2014,11864.16153846154
ITF1,2015,13063.099999999999
ITF2,2002,5725.109090909092
ITF2,2003,7094.109090909091
ITF2,2004,6782.790909090909
ITF2,2005,6325.227272727273
ITF2,2006,6627.645454545455
ITF2,2007,7017.00909090909
ITF2,2008,7191.381818181818
ITF2,2009,6470.945454545454
ITF2,2011,6457.2307692307695
ITF2,2012,6427.346153846154
ITF2,2013,6446.0230769230775
ITF2,2014,6807.884615384615
ITF2,2015,6364.5
ITF3,2002,26296.254545454543
ITF3,2003,32063.981818181815
ITF3,2004,30858.18181818182
ITF3,2005,31056.5
ITF3,2006,29541.609090909093
ITF3,2007,31445.836363636365
ITF3,2008,29745.872727272726
ITF3,2009,32084.845454545455
ITF3,2011,24109.40769230769
ITF3,2012,24448.784615384615
ITF3,2013,23652.015384615384
ITF3,2014,25027.30769230769
ITF3,2015,25387.984615384616
ITF4,2002,42357.99090909091
ITF4,2003,44901.40909090909
ITF4,2004,40376.181818181816
ITF4,2005,35855.65454545455
ITF4,2006,37400.90909090909
ITF4,2007,36427.63636363636
ITF4,2008,37430.11818181818
ITF4,2009,39732.93636363636
ITF4,2011,38709.66923076923
ITF4,2012,41906.407692307694
ITF4,2013,40773.415384615386
ITF4,2014,44942.59999999999
ITF4,2015,46661.553846153845
ITF5,2002,11645.709090909091
ITF5,2003,13613.736363636364
ITF5,2004,13046.2
ITF5,2005,11273.027272727273
ITF5,2006,11426.663636363637
ITF5,2007,11391.363636363636
ITF5,2008,10098.227272727272
ITF5,2009,8941.081818181818
ITF5,2011,9791.36923076923
ITF5,2012,9812.076923076924
ITF5,2013,9706.223076923077
ITF5,2014,10597.715384615383
ITF5,2015,10328.215384615383
ITF6,2002,22763.445454545457
ITF6,2003,27620.35454545455
ITF6,2004,25352.481818181815
ITF6,2005,22533.045454545456
ITF6,2006,21760.49090909091
ITF6,2007,24406.336363636365
ITF6,2008,19669.045454545456
ITF6,2009,16055.654545454547
ITF6,2011,23939.107692307694
ITF6,2012,22828.723076923077
ITF6,2013,24176.530769230765
ITF6,2014,27403.484615384616
ITF6,2015,24160.976923076923
ITFG,2002,161383.1090909091
ITFG,2003,181434.97272727272
ITFG,2004,165843.1272727273
ITFG,2005,153476.77272727274
ITFG,2006,154213.43636363637
ITFG,2007,159322.36363636365
ITFG,2008,152382.4909090909
ITFG,2009,149741.68181818182
ITFG,2011,138372.43076923076
ITFG,2012,142165.78461538462
ITFG,2013,139467.75384615385
ITFG,2014,152133.6846153846
ITFG,2015,144389.43846153846
ITFG,2016,125703.38461538461
ITFG,2017,129178.16153846154
ITG1,2002,40686.91818181818
ITG1,2003,45743.20909090909
ITG1,2004,42304.899999999994
ITG1,2005,38814.200000000004
ITG1,2006,38886.92727272728
ITG1,2007,39077.19090909091
ITG1,2008,37486.82727272728
ITG1,2009,39192.57272727272
ITG1,2011,32236.330769230768
ITG1,2012,34872.06153846154
ITG1,2013,33859.31538461538
ITG1,2014,39749.661538461536
ITG1,2015,35164.53846153846
ITG2,2002,15358.79090909091
ITG2,2003,17729.11818181818
ITG2,2004,17109.68181818182
ITG2,2005,16928.881818181817
ITG2,2006,16812.31818181818
ITG2,2007,19132.800000000003
ITG2,2008,21155.21818181818
ITG2,2009,17678.81818181818
ITG2,2011,14229.561538461538
ITG2,2012,13539.238461538462
ITG2,2013,13319.153846153846
ITG2,2014,14641.815384615385
ITG2,2015,14304.876923076923
